COMNAME,TAXON,Density per 100 ha
Blue Jay,Cyanocitta cristata,19
Blue Jay,Cyanocitta cristata,98
Blue Jay,Cyanocitta cristata,12
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,24
Blue Jay,Cyanocitta cristata,27.78
Blue Jay,Cyanocitta cristata,50
Blue Jay,Cyanocitta cristata,28.57
Blue Jay,Cyanocitta cristata,50
Blue Jay,Cyanocitta cristata,28.57
Blue Jay,Cyanocitta cristata,90.91
Blue Jay,Cyanocitta cristata,86.96
Blue Jay,Cyanocitta cristata,83.33
Blue Jay,Cyanocitta cristata,28.57
Blue Jay,Cyanocitta cristata,12.5
Blue Jay,Cyanocitta cristata,16.67
Blue Jay,Cyanocitta cristata,14.29
Blue Jay,Cyanocitta cristata,28.57
Blue Jay,Cyanocitta cristata,22
Blue Jay,Cyanocitta cristata,22.22
Blue Jay,Cyanocitta cristata,18.18
Blue Jay,Cyanocitta cristata,65.22
Blue Jay,Cyanocitta cristata,3.5
Blue Jay,Cyanocitta cristata,8.2
Blue Jay,Cyanocitta cristata,16.5
Blue Jay,Cyanocitta cristata,2.4
Blue Jay,Cyanocitta cristata,4
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,12
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,11
Blue Jay,Cyanocitta cristata,45.45
Blue Jay,Cyanocitta cristata,76.92
Blue Jay,Cyanocitta cristata,95.24
Blue Jay,Cyanocitta cristata,45.45
Blue Jay,Cyanocitta cristata,111.11
Blue Jay,Cyanocitta cristata,95.24
Blue Jay,Cyanocitta cristata,43.48
Blue Jay,Cyanocitta cristata,41.67
Blue Jay,Cyanocitta cristata,62.5
Blue Jay,Cyanocitta cristata,83.33
Blue Jay,Cyanocitta cristata,111.11
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,45.45
Blue Jay,Cyanocitta cristata,111.11
Blue Jay,Cyanocitta cristata,52.63
Blue Jay,Cyanocitta cristata,66.67
Blue Jay,Cyanocitta cristata,95.24
Blue Jay,Cyanocitta cristata,62.5
Blue Jay,Cyanocitta cristata,83.33
Blue Jay,Cyanocitta cristata,111.11
Blue Jay,Cyanocitta cristata,25
Blue Jay,Cyanocitta cristata,45.45
Blue Jay,Cyanocitta cristata,41.67
Blue Jay,Cyanocitta cristata,1
Blue Jay,Cyanocitta cristata,1
Blue Jay,Cyanocitta cristata,11.1
Blue Jay,Cyanocitta cristata,13.7
Blue Jay,Cyanocitta cristata,11.11
Blue Jay,Cyanocitta cristata,12.5
Blue Jay,Cyanocitta cristata,13.7
Blue Jay,Cyanocitta cristata,11.36
Blue Jay,Cyanocitta cristata,10.75
Blue Jay,Cyanocitta cristata,10
Blue Jay,Cyanocitta cristata,9.52
Blue Jay,Cyanocitta cristata,9.71
Blue Jay,Cyanocitta cristata,9.71
Blue Jay,Cyanocitta cristata,15.15
Blue Jay,Cyanocitta cristata,13.7
Blue Jay,Cyanocitta cristata,4.8
Blue Jay,Cyanocitta cristata,4.8
Blue Jay,Cyanocitta cristata,4.8
Blue Jay,Cyanocitta cristata,4.8
